app_name,joint_lifespan,expected_revenue,apple_price,play_price,apple_genre,play_genre,apple_purchase_price,play_purchase_price,,,,
Photo Editor-,20,1200000,0,0,Photo & Video,Photography,10000,10000,,,,
Photo Editor by Aviary,20,1200000,0,0,Photo & Video,Photography,10000,10000,,,,
PicsArt Photo Studio: Collage Maker & Pic Editor,20,1200000,0,0,Photo & Video,Photography,10000,10000,,,,
Pineapple Pen,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Pinterest,20,1200000,0,0,Social Networking,Social,10000,10000,,,,
Plants vs. Zombies™ 2,20,1200000,0,0,Games,Casual,10000,10000,,,,
Plants vs. Zombies™ Heroes,20,1200000,0,0,Games,Casual;Action & Adventure,10000,10000,,,,
Pou,20,1200000,0,0,Games,Casual,10000,10000,,,,
Real Basketball,20,1200000,0,0,Games,Sports,10000,10000,,,,
Real Racing 3,20,1200000,0,0,Games,Racing;Action & Adventure,10000,10000,,,,
Red Ball 4,20,1200000,0.99,0,Games,Arcade,10000,10000,,,,
Regal Cinemas,20,1200000,0,0,Entertainment,Entertainment,10000,10000,,,,
ROBLOX,20,1200000,0,0,Games,Adventure;Action & Adventure,10000,10000,,,,
Rolling Sky,20,1200000,0,0,Games,Board,10000,10000,,,,
Score! Hero,20,1200000,0,0,Games,Sports,10000,10000,,,,
Seven - 7 Minute Workout Training Challenge,20,1200000,0,0,Health & Fitness,Health & Fitness,10000,10000,,,,
Shadow Fight 2,20,1200000,0,0,Games,Action,10000,10000,,,,
SimCity BuildIt,20,1200000,0,0,Games,Simulation,10000,10000,,,,
Smash Hit,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Smashy Road: Arena,20,1200000,0,0,Games,Action,10000,10000,,,,
Solitaire,20,1200000,0,0,Games,Card,10000,10000,,,,
Solitaire,20,1200000,0,0,Games,Card;Brain Games,10000,10000,,,,
Sonic Dash,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Star Chart,20,1200000,0,0,Education,Education;Education,10000,10000,,,,
Star Wars™: Galaxy of Heroes,20,1200000,0,0,Games,Role Playing,10000,10000,,,,
Starbucks,20,1200000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
Subway Surfers,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Summoners War,20,1200000,0,0,Games,Role Playing,10000,10000,,,,
Super Jabber Jump,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Swamp Attack,20,1200000,0,0,Games,Action,10000,10000,,,,
Talking Tom Bubble Shooter,20,1200000,0,0,Games,Casual,10000,10000,,,,
Temple Run,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Temple Run 2,20,1200000,0,0,Games,Action,10000,10000,,,,
The CW,20,1200000,0,0,Entertainment,Entertainment,10000,10000,,,,
The Sims™ FreePlay,20,1200000,0,0,Games,Simulation,10000,10000,,,,
The Washington Post Classic,20,1200000,0,0,News,News & Magazines,10000,10000,,,,
Township,20,1200000,0,0,Games,Casual,10000,10000,,,,
Toy Blast,20,1200000,0,0,Games,Puzzle,10000,10000,,,,
Traffic Racer,20,1200000,0,0,Games,Racing,10000,10000,,,,
Trello,20,1200000,0,0,Productivity,Productivity,10000,10000,,,,
Trivia Crack,20,1200000,0,0,Games,Trivia,10000,10000,,,,
Verizon Cloud,20,1200000,0,0,Productivity,Productivity,10000,10000,,,,
War Robots,20,1200000,0,0,Games,Action,10000,10000,,,,
WGT Golf Game by Topgolf,20,1200000,0,0,Games,Sports,10000,10000,,,,
WhatsApp Messenger,20,1200000,0,0,Social Networking,Communication,10000,10000,,,,
Wish - Shopping Made Fun,20,1200000,0,0,Shopping,Shopping,10000,10000,,,,
Wishbone - Compare Anything,20,1200000,0,0,Social Networking,Social,10000,10000,,,,
Xbox,20,1200000,0,0,Entertainment,Entertainment,10000,10000,,,,
Yahoo Weather,20,1200000,0,0,Weather,Weather,10000,10000,,,,
YouTube Kids,20,1200000,0,0,Entertainment,Entertainment;Music & Video,10000,10000,,,,
Zombie Catchers,20,1200000,0,0,Games,Action,10000,10000,,,,
Zombie Tsunami,20,1200000,0,0,Games,Arcade,10000,10000,,,,
aa,19,1140000,0,0,Games,Strategy,10000,10000,,,,
ADP Mobile Solutions,19,1140000,0,0,Business,Business,10000,10000,,,,
Agar.io,19,1140000,0,0,Games,Action,10000,10000,,,,
Airbnb,19,1140000,0,0,Travel,Travel & Local,10000,10000,,,,
Amex Mobile,19,1140000,0,0,Finance,Finance,10000,10000,,,,
Angry Birds 2,19,1140000,0,0,Games,Casual,10000,10000,,,,
Angry Birds Space HD,19,1140000,0,0,Games,Arcade,10000,10000,,,,
Best Buy,19,1140000,0,0,Shopping,Shopping,10000,10000,,,,
Bike Unchained,19,1140000,0,0,Games,Sports,10000,10000,,,,
Candy Crush Jelly Saga,19,1140000,0,0,Games,Puzzle,10000,10000,,,,
Crazy Freekick,19,1140000,0,0,Games,Sports,10000,10000,,,,
Deck Heroes: Legacy,19,1140000,0,0,Games,Card,10000,10000,,,,
Dubsmash,19,1140000,0,0,Entertainment,Video Players & Editors,10000,10000,,,,
Endless Ducker,19,1140000,0,0,Games,Arcade,10000,10000,,,,
Fandango Movies - Times + Tickets,19,1140000,0,0,Entertainment,Entertainment,10000,10000,,,,
Farming Simulator 14,19,1140000,0,0,Games,Simulation;Action & Adventure,10000,10000,,,,
Firefox Focus: The privacy browser,19,1140000,0,0,Utilities,Communication,10000,10000,,,,
Indeed Job Search,19,1140000,0,0,Business,Business,10000,10000,,,,
Kik,19,1140000,0,0,Social Networking,Communication,10000,10000,,,,
Mad Skills Motocross,19,1140000,0.99,0,Games,Racing,10000,10000,,,,
Microsoft PowerPoint,19,1140000,0,0,Productivity,Productivity,10000,10000,,,,
My Emma :),19,1140000,0,0,Games,Casual,10000,10000,,,,
NBA LIVE Mobile Basketball,19,1140000,0,0,Games,Sports,10000,10000,,,,
Puffin Web Browser,19,1140000,0,0,Utilities,Communication,10000,10000,,,,
Shopkins World!,19,1140000,0,0,Games,Arcade;Action & Adventure,10000,10000,,,,
Snapseed,19,1140000,0,0,Photo & Video,Photography,10000,10000,,,,
SONIC Drive-In,19,1140000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
T-Mobile,19,1140000,0,0,Productivity,Tools,10000,10000,,,,
Talking Ginger 2,19,1140000,0,0,Entertainment,Entertainment,10000,10000,,,,
The Simpsons™: Tapped Out,19,1140000,0,0,Games,Casual,10000,10000,,,,
Tiny Archers,19,1140000,0,0,Games,Action,10000,10000,,,,
Tomb of the Mask,19,1140000,0,0,Games,Action,10000,10000,,,,
Tumblr,19,1140000,0,0,Social Networking,Social,10000,10000,,,,
USAA Mobile,19,1140000,0,0,Finance,Finance,10000,10000,,,,
WEB.DE Mail,19,1140000,0,0,Productivity,Communication,10000,10000,,,,
WeChat,19,1140000,0,0,Social Networking,Communication,10000,10000,,,,
WWE,19,1140000,0,0,Entertainment,Entertainment,10000,10000,,,,
Allrecipes Dinner Spinner,18,1080000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
Amazon Prime Video,18,1080000,0,0,Entertainment,Entertainment,10000,10000,,,,
Angry Birds Friends,18,1080000,0,0,Games,Arcade,10000,10000,,,,
Angry Birds Go!,18,1080000,0,0,Games,Racing,10000,10000,,,,
Ao Oni2,18,1080000,0,0,Games,Adventure,10000,10000,,,,
