Row Labels,Sum of net_profit
ASOS,494000
Cytus,484100
Domino's Pizza USA,494000
"Egg, Inc.",494000
Fernanfloo,494000
Geometry Dash Lite,494000
H*nest Meditation,484100
PewDiePie's Tuber Simulator,518000
The EO Bar,434100
The Guardian,494000
Grand Total,4884300
